merge_name,dypro_age,DyPro Value,pos,DyPro Rank
202310,21,2.0,PICK,361.0
202311,21,4.0,PICK,340.0
202320,21,6.0,PICK,320.0
202321,21,9.0,PICK,300.0
202330,21,13.0,PICK,284.0
202331,21,19.0,PICK,269.0
202340,21,29.0,PICK,251.0
202341,21,38.0,PICK,239.0
202350,21,52.0,PICK,226.0
202351,21,72.0,PICK,212.0
20241,21,4.0,PICK,336.5
20242,21,9.0,PICK,298.5
20243,21,20.5,PICK,265.5
20244,21,42.5,PICK,234.5
20245,21,78.0,PICK,208.5
20251,21,6.0,PICK,321.0
20252,21,13.0,PICK,285.0
20253,21,30.0,PICK,249.0
20254,21,64.0,PICK,217.0
20255,21,91.0,PICK,202.0
aarojones,28.2,1699.0,RB,77.5
aarorodger,39.2,1075.0,QB,97.0
adamhumphr,28.7,0.0,WR,600.5
adamthiele,32.5,27.0,WR,253.0
adamtrautm,26.0,0.0,TE,446.0
ajbrown,25.6,8108.0,WR,11.0
ajdillon,24.8,1267.0,RB,90.0
ajgreen,33.6,0.0,WR,522.0
albeokwueg,24.8,1.0,TE,377.0
alecpierce,22.8,309.0,WR,150.0
alexcollin,27.5,0.0,RB,666.5
alexmattis,24.7,281.0,RB,154.0
allelazard,27.2,149.0,WR,181.0
allerobins,29.5,10.0,WR,294.0
alvikamara,27.6,1391.0,RB,86.0
amarcooper,28.7,1297.0,WR,89.0
amarrodger,23.4,0.0,WR,437.0
ameeabdull,29.7,0.0,RB,549.5
amonstbrow,23.3,6563.0,WR,20.0
andydalton,35.3,2.0,QB,371.0
andyisabel,25.3,0.0,WR,426.0
anthfirkse,28.0,0.0,TE,600.5
anthmcfarl,24.0,0.0,RB,600.5
anthschwar,22.5,0.0,WR,456.5
antobrown,33.6,0.0,WR,549.5
antogibson,24.7,626.0,RB,120.0
ashtdulin,25.8,0.0,WR,475.0
audetate,26.0,0.0,WR,600.5
austekeler,27.8,6261.0,RB,22.0
austhooper,28.3,1.0,TE,422.0
bailzappe,23.8,18.0,QB,270.5
bakemayfie,27.8,156.0,QB,179.0
bennsnellj,25.0,0.0,RB,549.5
benskowro,25.6,0.0,WR,437.0
blakjarwin,27.6,0.0,TE,666.5
bostscott,27.8,0.0,RB,431.0
branaiyuk,24.9,1980.0,WR,71.0
brancooks,29.4,272.0,WR,155.5
braxberrio,27.4,0.0,WR,456.5
breehall,21.7,8301.0,RB,10.0
brevjordan,22.6,1.0,TE,381.5
briarobins,23.9,978.0,RB,101.0
brocpurdy,23.1,461.0,QB,133.0
brocwright,24.2,0.0,TE,489.5
bryaedward,24.3,0.0,WR,504.5
brychopkin,25.9,0.0,TE,475.0
byropringl,29.3,0.0,WR,475.0
cadeotton,23.8,75.0,TE,210.0
calehuntle,24.4,0.0,RB,465.0
calvaustin,23.9,1.0,WR,391.5
calvridley,28.2,933.0,WR,103.0
camakers,23.7,1328.0,RB,88.0
camebrate,31.6,0.0,TE,600.5
camnewton,32.8,0.0,QB,666.5
carsstrong,23.4,0.0,QB,666.5
carswentz,30.1,144.0,QB,182.5
cedrwilson,27.2,0.0,WR,456.5
ceedlamb,23.9,8700.0,WR,8.0
charkolar,24.0,0.0,TE,504.5
chasclaypo,24.6,292.0,WR,152.5
chasedmond,26.8,9.0,RB,301.0
chigokonkw,23.4,247.0,TE,159.5
chrievans,25.4,1.0,RB,395.5
chrigodwin,27.0,3399.0,WR,48.0
chriherndo,26.0,0.0,TE,666.5
chrikirk,26.2,1425.0,WR,85.0
chrimccaff,26.7,7736.0,RB,13.0
chrimoore,29.7,0.0,WR,475.0
chriolave,22.6,4950.0,WR,32.0
chriwatson,23.8,2687.0,WR,58.0
chubhubbar,23.7,118.0,RB,191.0
cjuzomah,30.1,0.0,TE,504.5
clydedward,23.9,168.0,RB,176.0
colbparkin,24.1,0.0,TE,549.5
colekmet,23.9,583.0,TE,123.0
colljohnso,25.4,0.0,WR,600.5
coltmccoy,36.5,0.0,QB,666.5
coopkupp,29.7,4199.0,WR,39.0
cooprush,29.2,0.0,QB,522.0
cordpatter,31.9,89.0,RB,203.0
coredavis,28.1,6.0,WR,318.0
coursutton,27.4,738.0,WR,113.0
craireynol,26.7,0.0,RB,489.5
curtsamuel,26.5,180.0,WR,173.0
dakpresco,29.6,5188.0,QB,30.0
dallgoeder,28.1,1802.0,TE,75.0
daltschult,26.6,721.0,TE,114.0
dalvcook,27.5,2075.0,RB,69.0
damepierce,23.0,2226.0,RB,66.0
damiharris,26.0,317.0,RB,149.0
damiwillia,29.9,0.0,RB,465.0
danarnold,27.9,0.0,TE,549.5
dandswift,24.1,4506.0,RB,36.0
danibellin,22.4,134.0,TE,185.5
danijones,25.7,2883.0,QB,55.0
danngray,23.9,1.0,WR,398.5
dareogunbo,28.8,0.0,RB,549.5
darislayto,26.1,11.0,WR,292.0
darnmooney,25.3,597.0,WR,122.0
darrevans,24.6,0.0,RB,600.5
darrhender,25.5,2.0,RB,365.5
darrwaller,30.4,544.0,TE,126.0
darrwillia,27.8,0.0,RB,446.0
davaadams,30.1,4299.0,WR,38.0
davibell,22.2,66.0,WR,215.5
davijohnso,30.2,0.0,RB,666.5
davimills,24.3,102.0,QB,197.0
davimontgo,25.7,955.0,RB,102.0
davimoore,28.1,0.0,WR,706.0
davinjoku,26.6,849.0,TE,107.0
dawsknox,26.3,262.0,TE,157.0
deancarter,29.9,0.0,WR,504.5
deanhopkin,30.7,1025.0,WR,99.0
deebsamuel,27.1,3479.0,WR,47.0
deeeskrid,25.9,0.0,WR,522.0
deejdallas,24.4,0.0,RB,456.5
demarobins,28.4,0.0,WR,456.5
demefelton,24.6,0.0,RB,549.5
denzmims,25.4,0.0,WR,437.0
deonharty,25.2,0.0,WR,522.0
deonjackso,24.0,2.0,RB,355.5
derecarr,31.9,1493.0,QB,83.0
dernjohnso,27.0,2.0,RB,355.5
derrhenry,29.1,2624.0,RB,59.0
deshwatson,27.4,5312.0,QB,29.0
desmridder,23.5,531.0,QB,127.0
devaparker,30.1,2.0,WR,363.0
deviduvern,25.4,3.0,WR,345.5
devisingle,25.5,387.0,RB,140.5
devobooker,29.7,0.0,RB,600.5
devofreema,29.9,0.0,RB,600.5
devosmith,24.3,4401.0,WR,37.0
dezfitzpa,25.2,0.0,WR,600.5
dionjohnso,26.6,1529.0,WR,82.0
djcharkj,26.4,144.0,WR,182.5
djmoore,25.8,3022.0,WR,53.0
dkmetcal,25.2,4778.0,WR,33.5
donaparham,25.5,0.0,TE,465.0
donopeople,24.0,272.0,WR,155.5
dontforema,26.8,176.0,RB,174.0
donthillia,28.0,1.0,RB,413.0
draklondon,21.6,4102.0,WR,40.0
drewlock,26.3,0.0,QB,600.5
drewsample,26.8,0.0,TE,600.5
dyambrown,23.3,1.0,WR,387.5
elijmitche,24.8,365.0,RB,143.0
elijmoore,22.9,641.0,WR,119.0
enobenjam,23.8,2.0,RB,371.0
equastbrow,26.4,0.0,WR,489.5
ericebron,28.9,0.0,TE,666.5
erikezukan,23.1,0.0,WR,489.5
evanengram,28.5,519.0,TE,128.0
ezekelliot,27.6,556.0,RB,125.0
fostmoreau,25.8,1.0,TE,381.5
