merge_name,ETR Value,ETR Rank
20241,1980.0,71.0
20242,233.0,162.0
20243,85.0,205.0
20244,18.0,270.0
aarojones,626.0,120.0
aarorodger,1180.0,93.0
adamthiele,29.0,250.0
ajbrown,7736.0,13.0
ajdillon,420.0,137.0
albeokwueg,7.0,309.0
alecpierce,239.0,161.0
alexmattis,113.0,193.0
allelazard,39.0,238.0
allerobins,28.0,252.0
alvikamara,597.0,122.0
amarcooper,1425.0,85.0
amonstbrow,7209.0,16.0
andriosiva,77.0,209.0
andydalton,6.0,319.0
anthrichar,3822.0,43.0
antogibson,153.0,180.0
atperry,9.0,300.0
austekeler,3399.0,48.0
bailzappe,16.0,276.0
bakemayfie,121.0,190.0
bijarobins,5974.0,24.0
branaiyuk,1802.0,75.0
brancooks,269.0,156.0
breehall,4006.0,41.0
brevjordan,20.0,266.0
briarobins,450.0,134.0
brocpurdy,189.0,171.0
brycyoung,6116.0,23.0
cadeotton,89.0,203.0
calvaustin,14.0,281.0
calvridley,544.0,126.0
camakers,1050.0,98.0
carswentz,49.0,228.0
cedrtillma,34.0,244.0
ceedlamb,7556.0,14.0
chasbrown,309.0,150.0
chasclaypo,256.0,158.0
chasedmond,13.0,285.0
chigokonkw,570.0,124.0
chrievans,5.0,329.0
chrigodwin,1889.0,73.0
chrikirk,849.0,107.0
chrimccaff,4401.0,37.0
chriolave,5699.0,26.0
chriwatson,2124.0,68.0
chubhubbar,45.0,232.0
cjstroud,6410.0,21.0
clydedward,142.0,183.0
colekmet,373.0,142.0
coopkupp,4299.0,38.0
cordpatter,115.0,192.0
coredavis,31.0,248.0
coursutton,262.0,157.0
curtsamuel,98.0,199.0
dakpresco,7920.0,12.0
dallgoeder,1208.0,92.0
daltkincai,507.0,129.0
daltschult,583.0,123.0
dalvcook,955.0,102.0
damepierce,1602.0,80.0
damiharris,70.0,213.0
dandswift,2751.0,57.0
danibellin,124.0,189.0
danijones,3734.0,44.0
danngray,15.0,279.0
darislayto,29.0,251.0
darnmooney,244.0,160.0
darnwashin,773.0,111.0
darrwaller,365.0,143.0
davaadams,4613.0,35.0
davibell,250.0,159.0
davimills,8.0,308.0
davimontgo,212.0,166.0
davinjoku,1237.0,91.0
dawsknox,217.0,165.0
deanhopkin,1297.0,89.0
deebsamuel,2389.0,63.0
deonjackso,7.0,314.0
derecarr,2816.0,56.0
dernjohnso,12.0,287.0
derrhenry,1529.0,82.0
deshwatson,6261.0,22.0
desmridder,519.0,128.0
deucvaughn,400.0,139.0
deviduvern,30.0,249.0
devisingle,75.0,210.0
devoachane,704.0,115.0
devosmith,5835.0,25.0
dewamcbrid,391.0,140.0
dionjohnso,556.0,125.0
djcharkj,100.0,198.0
djmoore,4835.0,33.0
dkmetcal,4950.0,32.0
donopeople,275.0,155.0
dontdemus,36.0,242.0
dontforema,72.0,212.0
donthillia,8.0,303.0
dontwicks,10.0,296.0
