merge_name,KTC Value,KTC Rank
20231,4401.0,37.0
20232,870.0,106.0
20233,130.0,187.0
20234,13.0,286.0
20241,3399.0,48.0
20242,556.0,125.0
20243,81.0,207.0
20244,10.0,294.0
20251,1934.0,72.0
20252,324.0,148.0
20253,46.0,231.0
20254,5.0,324.0
aarojones,1050.0,98.0
aarorodger,641.0,119.0
adamthiele,42.0,235.0
adamtrautm,6.0,318.0
ajbrown,8108.0,11.0
ajdillon,1075.0,97.0
albeokwueg,43.0,234.0
alecpierce,472.0,132.0
alexmattis,281.0,154.0
allelazard,217.0,165.0
allerobins,20.0,266.0
alvikamara,830.0,108.0
amarcooper,1458.0,84.0
amarrodger,11.0,292.0
ameeabdull,0.0,445.0
amonstbrow,6878.0,18.0
andydalton,3.0,353.0
anthfirkse,0.0,439.0
anthmcfarl,1.0,377.0
anthschwar,9.0,301.0
antogibson,356.0,144.0
ashtdulin,4.0,334.0
audetate,1.0,420.0
austekeler,3734.0,44.0
austhooper,7.0,313.0
bailzappe,67.0,215.0
bakemayfie,98.0,199.0
bennsnell,1.0,378.0
benskowro,12.0,290.0
bostscott,9.0,301.0
branaiyuk,2751.0,57.0
brancooks,203.0,168.0
braxberrio,2.0,370.0
breehall,7736.0,13.0
brevjordan,23.0,260.0
briarobins,849.0,107.0
brocpurdy,890.0,105.0
brocwright,8.0,306.0
bryaedward,0.0,425.0
brychopkin,1.0,415.0
byropringl,0.0,442.0
cadeotton,146.0,182.0
calehuntle,14.0,283.0
calvaustin,22.0,262.0
calvridley,1425.0,85.0
camakers,1126.0,95.0
camebrate,0.0,432.0
carsstrong,0.0,427.0
carswentz,26.0,255.0
cedrwilson,2.0,371.0
ceedlamb,8301.0,10.0
charkolar,1.0,384.0
chasclaypo,262.0,157.0
chasedmond,17.0,274.0
chigokonkw,420.0,137.0
chrievans,9.0,300.0
chrigodwin,2687.0,58.0
chrikirk,1802.0,75.0
chrimccaff,6261.0,22.0
chrimoore,2.0,366.0
chriolave,6410.0,21.0
chriwatson,3094.0,52.0
chubhubbar,110.0,194.0
cjuzomah,1.0,380.0
clydedward,127.0,188.0
colbparkin,3.0,346.0
colekmet,611.0,121.0
colljohnso,1.0,417.0
coltmccoy,0.0,451.0
coopkupp,4102.0,40.0
cooprush,2.0,359.0
cordpatter,34.0,244.0
coredavis,24.0,259.0
coursutton,704.0,115.0
craireynol,1.0,408.0
curtsamuel,250.0,159.0
dakpresco,4506.0,36.0
dallgoeder,1889.0,73.0
daltschult,792.0,110.0
dalvcook,1208.0,92.0
damepierce,1679.0,78.0
damiharris,193.0,170.0
danarnold,1.0,406.0
dandswift,3562.0,46.0
danibellin,275.0,155.0
danijones,3822.0,43.0
danngray,6.0,315.0
dareogunbo,0.0,437.0
darislayto,96.0,200.0
darnmooney,583.0,123.0
darrevans,2.0,357.0
darrhender,8.0,308.0
darrwaller,483.0,131.0
darrwillia,1.0,395.0
davaadams,4006.0,41.0
davibell,115.0,192.0
davimills,52.0,226.0
davimontgo,672.0,117.0
davimoore,0.0,454.0
davinjoku,773.0,111.0
dawsknox,340.0,146.0
deancarter,3.0,349.0
deanhopkin,1025.0,99.0
deebsamuel,3320.0,49.0
deejdallas,5.0,325.0
demarobins,3.0,344.0
demefelton,1.0,386.0
denzmims,5.0,329.0
deonharty,1.0,414.0
deonjackso,24.0,258.0
derecarr,1328.0,88.0
dernjohnso,12.0,289.0
derrhenry,1760.0,76.0
deshwatson,4950.0,32.0
desmridder,519.0,128.0
devaparker,6.0,320.0
deviduvern,53.0,225.0
devisingle,228.0,163.0
devosmith,5974.0,24.0
dezfitzpa,0.0,430.0
dionjohnso,1719.0,77.0
djchark,212.0,166.0
djmoore,2389.0,63.0
dkmetcal,5567.0,27.0
donaparham,14.0,282.0
donopeople,400.0,139.0
dontforema,118.0,191.0
donthillia,5.0,330.0
draklondon,5312.0,29.0
drewlock,4.0,340.0
drewsample,1.0,411.0
dwayeskrid,1.0,382.0
dyambrown,12.0,287.0
elijmitche,302.0,151.0
elijmoore,656.0,118.0
enobenjam,16.0,277.0
equastbrow,4.0,331.0
erikezukan,2.0,363.0
evanengram,519.0,128.0
ezekelliot,309.0,150.0
fostmoreau,35.0,243.0
gabedavis,721.0,114.0
gardminshe,33.0,245.0
garrwilson,7556.0,14.0
garybright,2.0,372.0
genosmith,1001.0,100.0
georkittle,2124.0,68.0
georpicken,2624.0,59.0
geraeveret,107.0,195.0
gregdortch,100.0,198.0
gregdulcic,688.0,116.0
gusedward,41.0,236.0
harrbryant,12.0,288.0
hasshaskin,64.0,217.0
haydhurst,77.0,209.0
huntbryant,1.0,422.0
hunthenry,32.0,247.0
huntlong,2.0,365.0
huntrenfro,198.0,169.0
ianthomas,1.0,396.0
ihmismithm,1.0,381.0
irvsmithj,57.0,222.0
isaihodgin,223.0,164.0
isailikely,382.0,141.0
isaimckenz,37.0,240.0
isaispille,113.0,193.0
isiapachec,1237.0,91.0
jacobrisse,36.0,241.0
jacoharris,0.0,435.0
jaeldarden,1.0,387.0
jahadotson,2175.0,67.0
jakefergus,56.0,223.0
jakefunk,0.0,450.0
jakomeyers,626.0,120.0
jaleguyton,8.0,304.0
jalehurts,9558.0,4.0
jalereagor,2.0,376.0
jaletolber,21.0,265.0
jalewyderm,1.0,402.0
jamaagnew,3.0,350.0
jamachase,9119.0,6.0
jamawillia,288.0,153.0
jameconner,348.0,145.0
jamecook,933.0,103.0
jamemitche,4.0,332.0
jameproche,1.0,379.0
jamerobins,45.0,232.0
jamewashin,0.0,437.0
jamewillia,3647.0,45.0
jamewinsto,93.0,201.0
jamicrowde,1.0,419.0
jamyhasty,7.0,310.0
jaregoff,1845.0,74.0
jarepatter,3.0,348.0
jarrstidha,40.0,237.0
jarvlandry,3.0,345.0
jauajennin,16.0,276.0
javowillia,4199.0,39.0
jaylwaddle,7556.0,14.0
jaylwarren,149.0,181.0
jdmckiss,3.0,342.0
jeffwilson,69.0,214.0
jelawoods,136.0,185.0
jeremcnich,0.0,449.0
jererucker,5.0,328.0
jerimckinn,61.0,219.0
jermjeffer,2.0,369.0
jeroford,39.0,238.0
jerrjeudy,3243.0,50.0
jimmgaropp,410.0,138.0
jjtaylor,1.0,407.0
jkdobbin,2075.0,69.0
joeburrow,9336.0,5.0
joemixon,1493.0,83.0
johnbates,1.0,385.0
johnmetchi,365.0,143.0
jonataylor,7042.0,17.0
jonnsmith,4.0,333.0
jordlove,1359.0,87.0
jordmason,22.0,263.0
joshallen,10018.0,2.0
joshdoctso,0.0,456.0
joshjacobs,4299.0,38.0
joshkelley,29.0,250.0
josholiver,1.0,391.0
joshpalmer,295.0,152.0
joshreynol,6.0,316.0
jujusmiths,440.0,135.0
julijones,0.0,433.0
justfields,7920.0,12.0
justherber,8907.0,7.0
justhill,3.0,346.0
justjackso,2.0,374.0
justjeffer,9785.0,3.0
justross,14.0,283.0
juwajohnso,85.0,205.0
kadatoney,810.0,109.0
kaliraymon,3.0,343.0
karehunt,244.0,160.0
keaoingram,36.0,242.0
keelcole,0.0,440.0
keenallen,755.0,112.0
kellmond,0.0,429.0
kendbourne,18.0,272.0
kenenwangw,8.0,303.0
kenndixon,0.0,456.0
kenngainwe,317.0,149.0
kenngollad,1.0,418.0
kennpicket,2334.0,64.0
kennwalker,6719.0,19.0
kenydrake,1.0,388.0
keshvaughn,3.0,355.0
keviharris,19.0,268.0
khalherber,738.0,113.0
khalshakir,172.0,175.0
kirkcousin,1529.0,82.0
kjhamler,47.0,230.0
kjosborn,160.0,178.0
kyleallen,1.0,404.0
kylegranso,7.0,314.0
kylemurray,6563.0,20.0
kylephilip,30.0,249.0
kylepitts,5438.0,28.0
kyletrask,44.0,233.0
kylihill,0.0,436.0
kyrewillia,66.0,216.0
lamajackso,8498.0,9.0
lancmccutc,1.0,394.0
larrrountr,1.0,410.0
latamurray,1.0,390.0
lavishenau,27.0,253.0
leonfourne,168.0,176.0
liljhumphr,0.0,434.0
logathomas,1.0,383.0
lynnbowden,0.0,448.0
macjones,1267.0,90.0
mackhollin,6.0,321.0
malidavis,19.0,269.0
maliwillis,180.0,173.0
marcmariot,9.0,299.0
markandrew,4835.0,33.0
marlmack,1.0,416.0
marqbrown,2226.0,66.0
marqcallaw,8.0,308.0
marqgoodwi,1.0,401.0
marqvaldes,58.0,221.0
marvjones,2.0,356.0
masorudolp,0.0,445.0
mattbreida,1.0,400.0
mattcorral,70.0,213.0
mattryan,0.0,431.0
