player_id,full_name,merge_name,position,team
5870,Daniel Jones,danijones,QB,NYG
1347,Chris Gragg,chrigragg,TE,
9508,Tyjae Spears,tyjaspears,RB,
3396,Charone Peake,charpeake,WR,
6343,Manny Wilkins,mannwilkin,QB,
8595,Kyric Mcgowan,kyrimcgowa,WR,WAS
3199,Michael Thomas,michthomas,WR,NO
1850,Tajh Boyd,tajhboyd,QB,
6487,Charles Scarff,charscarff,TE,
8209,Makai Polk,makapolk,WR,
6898,Anthony Gordon,anthgordon,QB,
2817,Daniel Rodriguez,danirodrig,WR,
3210,Cardale Jones,cardjones,QB,
5781,Malik Turner,maliturner,WR,
6992,Michael Warren,michwarren,RB,DET
2041,Torrence Allen,torrallen,WR,
2050,Branden Oliver,branoliver,RB,
1154,Ryan Broyles,ryanbroyle,WR,
4981,Calvin Ridley,calvridley,WR,JAX
4614,Riley Mccarron,rilemccarr,WR,
3573,Brandon Wilds,branwilds,RB,
8770,Malik Williams,maliwillia,WR,
8248,Kalil Pimpleton,kalipimple,WR,NYG
6374,Drew Belcher,drewbelche,TE,
2025,Albert Wilson,albewilson,WR,LV
4218,Trent Taylor,trentaylor,WR,CIN
7609,Demetric Felton,demefelton,RB,CLE
2446,Mycole Pruitt,mycopruitt,TE,ATL
2653,Brian Parker,briaparker,TE,
4861,Kent Taylor,kenttaylor,TE,
5076,John Kelly,johnkelly,RB,CLE
4522,Carlton Agudosi,carlagudos,WR,
6031,Alex Barnes,alexbarnes,RB,
533,Colt Mccoy,coltmccoy,QB,ARI
1450,Ace Sanders,acesander,WR,
1275,Jonathan Grimes,jonagrimes,RB,
7619,Mathew Sexton,mathsexton,WR,
516,Aaron Hernandez,aarohernan,TE,
4244,Devante Mays,devamays,RB,
4376,Michael Clark,michclark,WR,
8407,Tj Pledger,tjpledge,RB,
8236,Jerreth Sterns,jerrsterns,WR,LAR
2788,Nick Harwell,nickharwel,WR,
5661,Chris Lacy,chrilacy,WR,LV
4089,Gerald Everett,geraeveret,TE,LAC
4574,Cooper Rush,cooprush,QB,DAL
5255,Teo Redding,teoreddin,WR,
10236,Dalton Kincaid,daltkincai,TE,
4373,Stanley Williams,stanwillia,RB,
6068,Devine Ozigbo,deviozigbo,RB,
7602,Kylen Granson,kylegranso,TE,IND
6279,Brandon Dillon,brandillon,TE,
3253,Leonte Carroo,leoncarroo,WR,
9221,Jahmyr Gibbs,jahmgibbs,RB,
2634,Mack Brown,mackbrown,RB,
670,Kassim Osgood,kassosgood,WR,
2907,Ben Edwards,benedward,WR,
8778,Justin Rigg,justrigg,TE,TEN
111,Marcedes Lewis,marclewis,TE,GB
6446,Jon Hilliman,jonhillim,RB,
7064,Darrynton Evans,darrevans,RB,CHI
8138,James Cook,jamecook,RB,BUF
7594,Chuba Hubbard,chubhubbar,RB,CAR
2145,Chase Rettig,chasrettig,QB,
7108,Hasise Dubois,hasidubois,WR,
175,Jordy Nelson,jordnelson,WR,
4036,Corey Davis,coredavis,WR,NYJ
6618,Isaiah Searight,isaisearig,TE,
6271,Olamide Zaccheaus,olamzacche,WR,ATL
2560,Zach Zenner,zachzenner,RB,
8650,Lujuan Winningham,lujuwinnin,WR,
8484,Ko Kieft,kokieft,TE,TB
2752,Trent Steelman,trensteelm,WR,
2392,Sammie Coates,sammcoates,WR,
2711,Taylor Heinicke,taylheinic,QB,WAS
8114,Erik Ezukanma,erikezukan,WR,MIA
5208,Matt Linehan,mattlineha,QB,
6311,Patrick Laird,patrlaird,RB,TB
5163,Ryan Nall,ryannall,RB,
695,Ted Ginn,tedginn,WR,
7551,Deon Jackson,deonjackso,RB,IND
5609,Stephen Baggett,stepbagget,TE,
4179,Joshua Dobbs,joshdobbs,QB,TEN
2702,John Chiles,johnchiles,WR,
5804,Julian Williams,juliwillia,WR,
8074,Matt Seybert,mattseyber,TE,
2119,James Franklin,jamefrankl,QB,
3655,Reggie Diggs,reggdiggs,WR,
3877,Kelsey Young,kelsyoung,RB,
58,Greg Olsen,gregolsen,TE,
8239,Ricky Person,rickperson,RB,
