merge_name,HIM RANK,Age,HIM VALUE,Uncertainty,High Rank,Low Rank,High Source,Low Source
joshallen,1,26.7,10137.0,119.0,1.0,2.0,ETR Rank,KTC Rank
patrmahome,2,27.4,10137.0,119.0,1.0,2.0,KTC Rank,ETR Rank
jalehurts,3,24.5,9634.0,131.0,3.0,4.0,ETR Rank,KTC Rank
justjeffer,4,23.7,9492.0,507.0,3.0,7.0,KTC Rank,ETR Rank
joeburrow,5,26.2,9336.0,0.0,5.0,5.0,KTC Rank,KTC Rank
jamachase,6,23.0,8979.0,242.0,6.0,8.0,KTC Rank,ETR Rank
justherber,7,24.9,8841.0,316.0,6.0,9.0,ETR Rank,DyPro Rank
lamajackso,8,26.1,8659.0,831.0,4.0,12.0,ETR Rank,DyPro Rank
trevlawren,9,23.4,8193.0,710.0,8.0,15.0,KTC Rank,DyPro Rank
ceedlamb,10,23.9,8186.0,581.0,8.0,14.0,DyPro Rank,ETR Rank
ajbrown,11,25.6,7984.0,215.0,11.0,13.0,KTC Rank,ETR Rank
justfields,12,24.0,7810.0,554.0,10.0,16.0,ETR Rank,DyPro Rank
jaylwaddle,13,24.2,7272.0,352.0,14.0,18.0,KTC Rank,DyPro Rank
kylemurray,14,25.5,6929.0,1045.0,11.0,23.0,ETR Rank,DyPro Rank
garrwilson,15,22.6,6895.0,593.0,14.0,21.0,KTC Rank,DyPro Rank
amonstbrow,16,23.3,6883.0,323.0,16.0,20.0,ETR Rank,DyPro Rank
jonataylor,17,24.1,6818.0,2209.0,7.0,36.0,DyPro Rank,ETR Rank
breehall,18,21.7,6681.0,2334.0,10.0,41.0,DyPro Rank,ETR Rank
kennwalker,19,22.3,6488.0,1201.0,14.0,30.0,DyPro Rank,ETR Rank
teehiggin,20,24.1,6187.0,658.0,18.0,27.0,ETR Rank,DyPro Rank
kylepitts,21,22.4,6151.0,817.0,17.0,28.0,ETR Rank,KTC Rank
chrimccaff,22,26.7,6133.0,1671.0,13.0,37.0,DyPro Rank,ETR Rank
